Fecha,Qo,Qw,Qg,Np,Gp,Wp
29/02/2008,3614,0,0.405,0.105,0.012,0
31/03/2008,10266,0,1.174,0.423,0.048,0
30/04/2008,10659,0,1.226,0.743,0.085,0
31/05/2008,9399,81.35483871,1.087,1.034,0.118,0.002522
30/06/2008,4145,156.2,0.518,1.159,0.134,0.007208
31/07/2008,4302,145.8709677,0.501,1.292,0.15,0.01173
31/08/2008,3799,456.7096774,0.399,1.41,0.162,0.025888
30/09/2008,5008,718.9333333,0.536,1.56,0.178,0.047456
31/10/2008,10059,1149.225806,1.089,1.872,0.211,0.083082
30/11/2008,10023,1463.833333,1.085,2.172,0.244,0.126997
31/12/2008,9454,1631.903226,1.018,2.466,0.276,0.177586
31/01/2009,13493,3651.709677,1.505,2.884,0.322,0.290789
28/02/2009,15083,613.9285714,1.698,3.306,0.37,0.307979
31/03/2009,13970,707.6774194,1.557,3.74,0.418,0.329917
30/04/2009,15278,1034.866667,1.698,4.198,0.469,0.360963
31/05/2009,18534,2184.774194,2.075,4.773,0.533,0.428691
30/06/2009,20147,1634.9,2.255,5.376,0.602,0.477738
31/07/2009,19942,1662.967742,2.252,5.994,0.671,0.52929
31/08/2009,21170,1823.225806,2.397,6.652,0.746,0.58581
30/09/2009,21115,2208.766667,2.391,7.285,0.817,0.652073
31/10/2009,19239,3380.258065,2.179,7.881,0.884,0.756861
30/11/2009,15818,1804.766667,1.766,8.356,0.938,0.811004
31/12/2009,17454,2020.451613,1.947,8.897,0.997,0.873638
31/01/2010,13623,1517.032258,1.544,9.318,1.046,0.920666
28/02/2010,11249,0,1.306,9.634,1.083,0.920666
31/03/2010,9791,1422.903226,1.073,9.937,1.115,0.964776
30/04/2010,8212,1195.066667,0.903,10.183,1.142,1.000628
31/05/2010,12062,1437.322581,1.351,10.557,1.186,1.045185
30/06/2010,13586,1893.233333,1.5,10.965,1.229,1.101982
31/07/2010,13833,1961.193548,1.548,11.393,1.277,1.162779
31/08/2010,13062,2586.516129,1.49,11.799,1.323,1.242961
30/09/2010,11291,1575.4,1.264,12.138,1.363,1.290223
31/10/2010,4861,867.7741935,0.532,12.288,1.379,1.317124
30/11/2010,4043,419.9666667,0.463,12.409,1.392,1.329723
31/12/2010,15227,713.5483871,1.707,12.882,1.445,1.351843
31/01/2011,16749,3026.193548,1.861,13.401,1.502,1.445655
28/02/2011,13473,2693.357143,1.514,13.778,1.546,1.521069
31/03/2011,15460,1648.322581,1.72,14.257,1.599,1.572167
30/04/2011,15986,1134.333333,1.823,14.737,1.654,1.606197
31/05/2011,7749,494.2903226,0.886,14.978,1.682,1.62152
30/06/2011,16016,1053.833333,1.792,15.457,1.734,1.653135
31/07/2011,15286,1091.709677,1.703,15.931,1.787,1.686978
31/08/2011,12466,815.8709677,1.384,16.317,1.831,1.71227
30/09/2011,12977,976,1.48,16.707,1.874,1.74155
31/10/2011,15589,975.9677419,1.796,17.19,1.93,1.771805
30/11/2011,15278,593.1,1.76,17.649,1.984,1.789598
31/12/2011,15332,456.2258065,1.758,18.124,2.038,1.803741
31/01/2012,14620,2451.935484,1.599,18.577,2.087,1.879751
29/02/2012,14429,1944.821429,1.62,18.996,2.134,1.936150821
31/03/2012,12379,1575.967742,1.374,19.379,2.177,1.985005821
30/04/2012,13798,1616.733333,1.58,19.793,2.225,2.033507821
31/05/2012,12671,932.2580645,1.422,20.186,2.268,2.062407821
30/06/2012,11307,680.3666667,1.266,20.525,2.306,2.082818821
31/07/2012,12453,823.483871,1.407,20.911,2.351,2.108346821
31/08/2012,10539,837.4516129,1.191,21.239,2.387,2.134307821
30/09/2012,11585,965.5666667,1.3,21.586,2.427,2.163274821
31/10/2012,10794,580.0322581,1.203,21.92,2.463,2.181255821
30/11/2012,10971,789.8666667,1.254,22.249,2.501,2.204951821
31/12/2012,11296,685.7419355,1.252,22.599,2.54,2.226209821
31/01/2013,10067,3116.387097,1.096,22.912,2.573,2.322817821
28/02/2013,11010,3663.785714,1.754,23.22,2.623,2.425403821
31/03/2013,11188,4422.290323,1.79,23.567,2.677,2.562494821
30/04/2013,10593,6934.7,1.701,23.884,2.73,2.770535821
31/05/2013,10316,6329.193548,1.664,24.205,2.78,2.966740821
30/06/2013,9011,7301.5,1.451,24.475,2.824,3.185785821
31/07/2013,7581,6231.516129,1.225,24.709,2.861,3.378962821
31/08/2013,6002,5363.354839,0.952,24.896,2.892,3.545226821
30/09/2013,5813,5833.8,0.887,25.071,2.917,3.720240821
31/10/2013,4309,5789.322581,0.7,25.204,2.939,3.899709821
30/11/2013,4546,5372.566667,0.704,25.34,2.96,4.060886821
31/12/2013,6680,4579.354839,1.051,25.548,2.994,4.202846821
31/01/2014,9726,5646.032258,1.542,25.849,3.042,4.377873821
28/02/2014,11338,6429.071429,1.8,26.166,3.092,4.557887821
31/03/2014,10996,6023.741935,1.788,26.507,3.148,4.744623821
30/04/2014,8562,5337.7,1.393,26.764,3.19,4.904754821
31/05/2014,11600,5513.612903,1.887,27.124,3.247,5.075676821
30/06/2014,11149,6455.766667,1.764,27.458,3.301,5.269349821
31/07/2014,8782,5358.935484,1.399,27.731,3.343,5.435476821
31/08/2014,9091,6485.903226,1.459,28.013,3.389,5.636539821
30/09/2014,8598,7117.2,1.401,28.271,3.431,5.850055821
31/10/2014,8305,7792.258065,1.3,28.527,3.472,6.091615821
30/11/2014,8231,7659.633333,1.293,28.774,3.511,6.321404821
31/12/2014,9853,5926,1.597,29.08,3.561,6.505110821
31/01/2015,9860,7979.645161,1.6,29.385,3.61,6.752479821
28/02/2015,9860,4259.964286,1.6,29.661,3.655,6.871758821
31/03/2015,9860,7251.387097,1.6,29.968,3.704,7.096551821
30/04/2015,10004,5795.666667,1.6,30.269,3.751,7.270421821
31/05/2015,9763,5485.935484,1.556,30.57,3.8,7.440485821
30/06/2015,8660,4378.366667,1.4,30.831,3.842,7.571836821
31/07/2015,8660,5133.354839,1.4,31.098,3.886,7.730970821
31/08/2015,8834,4831.096774,1.4,31.373,3.929,7.880734821
30/09/2015,9233,5493.52,1.454,31.649,3.972,8.045540421
31/10/2015,9176,5993.72,1.474,31.933,4.018,8.231345741
30/11/2015,8817,5278.133333,1.393,32.198,4.06,8.389689741
31/12/2015,9060,4890.16129,1.4,32.478,4.103,8.541284741
31/01/2016,9060,4935,1.4,32.76,4.147,8.694269741
29/02/2016,9060,4388,1.4,33.023,4.187,8.821521741
31/03/2016,9028,5039,1.397,33.302,4.231,8.977730741
30/04/2016,8960,4675,1.4,33.571,4.273,9.117980741
31/05/2016,9060,5004,1.4,33.852,4.316,9.273104741
30/06/2016,9240,5027,1.45,34.129,4.36,9.423914741
31/07/2016,10060,5405,1.6,34.441,4.409,9.591469741
31/08/2016,8363,3765,1.329,34.7,4.45,9.708184741
30/09/2016,6860,2895,1.1,34.906,4.483,9.795034741
31/10/2016,4787,1805,0.742,35.055,4.506,9.850989741
30/11/2016,7703,3411,1.24,35.286,4.544,9.953319741
31/12/2016,10173,5137,1.603,35.601,4.593,10.11256674
31/01/2017,11857,7944,1.894,35.969,4.652,10.35883074
28/02/2017,11903,8031.035714,1.896,36.302,4.705,10.58369974
31/03/2017,9612,5863.096774,1.494,36.6,4.751,10.76545574
30/04/2017,10103,5510,1.567,36.903,4.798,10.93075574
31/05/2017,10844,5544,1.7,37.239,4.851,11.10261974
30/06/2017,10760,5419,1.7,37.562,4.902,11.26518974
31/07/2017,10760,5634.645161,1.7,37.895,4.955,11.43986374
31/08/2017,10760,6342.774194,1.7,38.229,5.008,11.63648974
30/09/2017,4309,1732.366667,0.68,38.358,5.028,11.68846074
31/10/2017,10203,4554.451613,1.597,38.675,5.077,11.82964874
30/11/2017,10896.67849,4049.149788,1.713289879,39.00190035,5.128398696,11.95112324
31/12/2017,10777,4399.193548,1.699,39.336,5.198,12.08749824
31/01/2018,10455,4870.548387,1.66,39.66,5.232,12.23848524
28/02/2018,10442,5302.928571,1.699,39.952,5.28,12.38696724
31/03/2018,10706,6211.258065,1.71542742,40.284,5.233,12.57951624
30/04/2018,11680,5908.3,1.84,40.634,5.39,12.75676524
31/05/2018,11351,5004.645161,1.8,40.986,5.445,12.91190924
30/06/2018,11469,5999.9,1.8,41.33,5.499,13.09190624
31/07/2018,11500,6057.483871,1.8,41.687,5.555,13.27968824
31/08/2018,11500,6773.354839,1.8,42.043,5.611,13.48966224
30/09/2018,11610,7889.866667,1.847,42.392,5.666,13.72635824
31/10/2018,11140,7381.129032,1.777,42.736,5.722,13.95517324
30/11/2018,10978,7584.066667,1.743,43.065,5.774,14.18269524
31/12/2018,10642,8303.03,1.658,43.394902,5.825398,14.44008917
